datetime,open,high,low,close,volume
2022-01-27 03:00:00,27255,27260,27180,27220,22196
2022-01-27 04:00:00,27215,27365,27035,27055,147595
2022-01-27 05:00:00,27050,27055,26775,26930,107871
2022-01-27 06:00:00,26930,26930,26930,26930,2642
2022-01-27 08:00:00,27055,27170,27045,27145,42347
2022-01-27 09:00:00,27150,27180,26795,26815,209770
2022-01-27 10:00:00,26820,26845,26290,26320,263829
2022-01-27 11:00:00,26320,26395,26145,26310,175464
2022-01-27 12:00:00,26310,26335,26075,26255,137522
2022-01-27 13:00:00,26255,26260,26065,26135,114933
2022-01-27 14:00:00,26135,26215,26025,26145,165751
2022-01-27 15:00:00,26145,26220,26115,26220,43757
2022-01-27 16:00:00,27010,27055,27005,27045,15936
2022-01-27 17:00:00,27045,27230,27035,27220,71616
2022-01-27 18:00:00,27225,27315,27205,27295,48284
2022-01-27 19:00:00,27295,27350,27285,27315,32321
2022-01-27 20:00:00,27315,27330,27245,27325,31308
2022-01-27 21:00:00,27330,27335,27265,27310,24432
2022-01-27 22:00:00,27310,27400,27305,27355,34005
2022-01-27 23:00:00,27355,27365,27220,27295,64988
2022-01-28 00:00:00,26780,26810,26575,26730,92683
2022-01-28 01:00:00,26730,26770,26655,26765,57240
2022-01-28 02:00:00,26765,26770,26500,26580,56697
2022-01-28 03:00:00,26580,26620,26405,26545,56217
2022-01-28 04:00:00,26540,26645,26430,26520,53805
2022-01-28 05:00:00,26525,26635,26455,26575,30741
2022-01-28 06:00:00,26550,26550,26550,26550,2142
2022-01-28 08:00:00,26550,26610,26520,26520,26794
2022-01-28 09:00:00,26520,26620,26270,26550,214599
2022-01-28 10:00:00,26545,26705,26515,26695,129666
2022-01-28 11:00:00,26695,26775,26645,26765,73898
2022-01-28 12:00:00,26760,26775,26640,26670,57015
2022-01-28 13:00:00,26670,26730,26625,26695,60663
2022-01-28 14:00:00,26690,26750,26665,26700,69836
2022-01-28 15:00:00,26700,26715,26665,26710,23815
2022-01-28 16:00:00,26320,26335,26255,26275,34342
2022-01-28 17:00:00,26275,26540,26270,26530,88381
2022-01-28 18:00:00,26535,26650,26485,26620,77882
2022-01-28 19:00:00,26615,26660,26490,26515,59280
2022-01-28 20:00:00,26515,26645,26515,26640,43522
2022-01-28 21:00:00,26645,26675,26560,26615,55438
2022-01-28 22:00:00,26615,26750,26605,26730,52094
2022-01-28 23:00:00,26730,26840,26675,26775,82519
2022-01-31 00:00:00,26290,26455,26270,26455,98303
2022-01-31 01:00:00,26455,26615,26405,26610,70180
2022-01-31 02:00:00,26610,26655,26495,26510,44862
2022-01-31 03:00:00,26515,26595,26500,26545,32513
2022-01-31 04:00:00,26550,26600,26330,26495,48487
2022-01-31 05:00:00,26495,26640,26470,26640,29060
2022-01-31 06:00:00,26670,26670,26670,26670,2221
2022-01-31 08:00:00,26620,26665,26590,26650,24572
2022-01-31 09:00:00,26655,26895,26510,26805,187883
